Macrozona,Región,Fecha,Participantes,Hombres,Mujeres,Academia,Industria,Sector Publico,Otro,Promedio de Edad,Mesas Eje 1,Mesas Eje 2,Mesas Eje 3
Norte,Arica y Parinacota,15/07/2020,22,17,5,2,14,4,2,45,1,1,1
Norte,Tarapacá,27/07/2020,37,25,12,9,13,6,9,42,2,2,1
Norte,Atacama,24/08/2020,28,12,16,12,2,10,4,39,2,2,0
Norte,Antofagasta,10/08/2020,31,23,8,11,16,2,2,48,2,3,1
Centro,Coquimbo,22/07/2020,9,8,1,3,1,4,1,47,1,1,0
Centro,Valparaíso,3/08/2020,48,43,5,26,18,2,2,41,1,4,2
Centro Sur,O'Higgins,20/08/2020,7,6,1,4,2,1,0,45,1,1,0
Centro Sur,Maule,29/07/2020,27,19,8,10,4,7,6,44,1,3,0
Centro Sur,Ñuble,26/08/2020,9,5,4,4,2,1,2,39,0,1,1
Centro Sur,Biobío,12/08/2020,29,22,7,13,7,2,7,39,1,3,1
Sur,Araucanía,6/08/2020,31,17,14,24,4,2,1,43,1,3,2
Sur,Los Ríos,30/07/2020,33,24,9,14,4,11,4,48,2,3,1
Sur,Los Lagos,17/08/2020,49,38,11,10,27,5,7,44,2,6,2
Austral,Aysén,23/07/2020,14,10,4,6,2,4,2,38,0,2,0
Austral,Magallanes,19/08/2020,24,18,6,9,2,7,6,49,1,2,2